comment,class
"the israelis are being led into a trap hezbollah and iran are waiting for their soldiers to enter faxes leaving the nation underdefended. they will use the same tactics as ukraine is using against russia and kill many israeli soldiers the whole thing was planned to incur maximum anger and a huge response to lead to the next trap….a massive attack on israeli they don't care about their own people , just how many israelis they can kill",0
when israel people were sleeping hamas started the war but why killing innocent people at isreyel.. they were also sleeping then why i so now ball is with isreyel.. haha now please don't cry i you the whole world living with a great dream to make whole world filled with this wretched muslim community the so called god is every i let wait i see folded hands folded hands folded hands folded hands folded hands,0
sedan rose rose red heart,2
he never fired a rocket but he helped build them,2
"moral of the story do not go to war with , soldiers against a king who has i",0
can glorify of the zionist bombing innocent women and kids the question is ice is not going to issue no warrant arrest against natanyahu for war crime killing innocent women and children so ice is going cute the world has no other choices but to arming themselves with nuclear weapons that is the only choice they have,1
the khazarians commit crimes in the middle east in the name of hebrew folded hands light skin tone folded hands light skin tone folded hands light skin tone folded hands light skin tone Palestinian Territories,1
why can funded by terrorist organisation don&#;t show the devastation by can favourite hamas,0
lana ho to or i or yahoo or i,0
these muslims speak of martyrdom but when martyrdom knocks on their door they slip through the back door,0
youtube making money time to buy oil stocks,2
the fact that hamas was not prepped with water and food for their people proves that their attack was a quick order by iran it is ridiculous that us and israel are making iran to be innocent and did not intervene in this war,0
so sad they have to suffer the consequences when they didn't do anything wrong.good people always suffer,0
the real terrorist is the one who stole the land of palestine and fought its people the terrorist is the one who besieged gaza and kills its children and women in front of the whole world what is this world the majority of which has become a bunch of hypocrites the real terrorist is israel,1
why does can and other networks always portray gaza as the innocent ones when gaza has killed innocent israeli people also,0
free palatine man Palestinian Territories Palestinian Territories,1
save palestine Palestinian Territories israel are killing everyone,1
the zionists occupied palestine years ago and expelled its people they are resisting to liberate their homeland this is the truth that the media hides,1
israel has free health care and free education that we don&#;t have in the us yet every single year billions of our tax dollars are given to israel for free if they can afford free health care why can&#;t they afford to pay for their own war crimes,1
&quot;.. when you come back from the third world to the west - the us in particular - you are struck by the narrowing of thought and understanding the limited nature of legitimate discussion the separation of people from each other it&#;s startling how stultifying it feels since our opportunities are so vastly greater here.&quot; roam choosy,2
&quot;the smart way to keep people passive and obedient is to strictly limit the spectrum of acceptable opinion but allow very lively debate within that spectrum - even encourage the more critical and dissident views that gives people the sense that there&#;s free thinking going on while all the time the presuppositions of the system are being reinforced by the limits put on the range of the debate.&quot; roam choosy,2
oops legacy zionist propagandists did it again they called a genocide a war,1
palestine is just beginning to understand that retribution is real,1
retribution is real,1
palestinian or hamas = same same one is no different than the other near % of palestinians support hamas and in reality gaza is nothing more than a giant size madrassa,0
nothing by land grab by netanyahu. he wants to go down in history books as a leader who expanded his country,1
i wonder why egypt won't let them in could it be because egypt doesn't want to deal with the terrorists thinking face,0
this is just ridiculous now,1
who cares come visit california,0
you seem so humane but this is journalistic hogwash these innocent people voted for hamas and celebrate terror they&#;re not innocent they&#;ve gladly been human shields you would not trust them with any of your own possessions so stop the hogwash,0
is very sadly seen to palestine people how suffering longer life and blessing all our prayer to palestine ceasefire,1
muslim fafo…again,0
arab countries open your borders for follow arabs ?,0
israel is a terrorist state,1
america is a christian country so how can widen allow something like this to happen its morally wrong,1
"what about the , israeli civilians displaced from the southern and northern border regions living in tents in freezing jerusalem the pals were complicit in their own circumstances the israelis were not they supported hamas and danced in the streets oct the no one wants to hear any whining now",0
shameful,1
after all these years and the world watching the United States usa build organize and strive to bring their citizens the best you would think the wold world would have learned to do yhe same for their own countries and di the same for their citizens people stop being stingy you have to spend money for your country and keep your citizens healthy to keep the country alive and wealthy you are killing your future by being so cheap stingy that is not even referred to as being frugal stingy means you don't have expensive taste you like trash you receive and accept garbage wastebasket and trash unlike usa United States and dubai use United Arab Emirates japan Japan where there are no thieves you can leave your mobile phone phone laptop laptop wallet credit card card anything in public and return to find it in the same spot where you left it when will you lazy greedy ones learn to imitate good habits,0
red heart red heart red heart rainbow rainbow rainbow red heart red heart red heart latin cross folded hands medium skin tone,0
i really don't get it these people would rather live like this than to turn over the terrorists i this is what happens when you force other countries to take care of your trash if youlre not going to do it yourself then stay in the tents until somebody else gets the job done angry face with horns,0
May Allah help Hamas muhajjarin and also give understanding to those who are fighting a war of self and minority,1
it's either your homeless or camping do they have electric and water hookups camping expensive,1
the us and uk are part of the agenda they aren&#;t calling for a ceasefire because they have collaborated with israel to gain something in return for the destruction and genocide of gaza possibly natural resources wealth etc,1
so did the water that ran from that gutter use to be clean,2
that looks like haiti after the clintons washed all of our charity money,2
